# # comment:                                                     FEFF 9.6.4  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.365 Rnm= 1.402 K  shell
# # Pot 1 Z=29 Rmt= 1.365 Rnm= 1.402
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.865E+00eV kf=1.989E+00 Vint=-1.649E+01eV Rs_int= 1.824
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           2.4541E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9026.467     30.180   3.160  1.01375E+00  9.88398E-01  2.53568E-02
    9027.436     31.149   3.200  1.02643E+00  9.88587E-01  3.78386E-02
    9028.418     32.130   3.240  1.03751E+00  9.88816E-01  4.86913E-02
    9029.411     33.124   3.280  1.04593E+00  9.89084E-01  5.68501E-02
    9030.417     34.130   3.320  1.05095E+00  9.89391E-01  6.15633E-02
    9031.435     35.148   3.360  1.05207E+00  9.89736E-01  6.23365E-02
    9032.465     36.178   3.400  1.04878E+00  9.90143E-01  5.86398E-02
    9033.508     37.221   3.440  1.04100E+00  9.90565E-01  5.04301E-02
    9034.562     38.275   3.480  1.02907E+00  9.91022E-01  3.80507E-02
    9035.629     39.342   3.520  1.01390E+00  9.91514E-01  2.23909E-02
    9036.708     40.421   3.560  9.96840E-01  9.92040E-01  4.79937E-03
    9037.799     41.512   3.600  9.79436E-01  9.92599E-01 -1.31637E-02
    9038.903     42.616   3.640  9.62911E-01  9.93165E-01 -3.02543E-02
    9040.018     43.731   3.680  9.48336E-01  9.93769E-01 -4.54330E-02
    9041.146     44.859   3.720  9.36423E-01  9.94440E-01 -5.80168E-02
