 # r       w_scrn(r)      v_ch(r)
    0.4274148504E+00    0.2905926894E+00    0.2339646943E+01
    0.4493288784E+00    0.2226244232E+00    0.2225541018E+01
    0.4723664626E+00    0.1633064938E+00    0.2117000102E+01
    0.4965852091E+00    0.1121933866E+00    0.2013752789E+01
    0.5220456772E+00    0.6880973970E-01    0.1915540907E+01
    0.5488115314E+00    0.3263154471E-01    0.1822118875E+01
    0.5769497003E+00    0.3112973944E-02    0.1733253088E+01
    0.6065305440E+00   -0.2032905429E-01    0.1648721338E+01
    0.6376280300E+00   -0.3828493450E-01    0.1568312249E+01
    0.6703199182E+00   -0.5136424035E-01    0.1491824759E+01
    0.7046879553E+00   -0.6016539490E-01    0.1419067607E+01
    0.7408180794E+00   -0.6528567651E-01    0.1349858863E+01
    0.7788006345E+00   -0.6729312918E-01    0.1284025469E+01
    0.8187305969E+00   -0.6673559885E-01    0.1221402808E+01
    0.8607078123E+00   -0.6411707249E-01    0.1161834290E+01
    0.9048372455E+00   -0.5990740548E-01    0.1105170963E+01
    0.9512292431E+00   -0.5452399183E-01    0.1051271139E+01
    0.9999998093E+00   -0.4834218750E-01    0.1000000041E+01
    0.1051270896E+01   -0.4168245192E-01    0.9512294635E+00
    0.1105170707E+01   -0.3482184972E-01    0.9048374551E+00
    0.1161834021E+01   -0.2798575955E-01    0.8607080117E+00
    0.1221402525E+01   -0.2135942253E-01    0.8187307866E+00
    0.1284025172E+01   -0.1508326403E-01    0.7788008150E+00
    0.1349858550E+01   -0.9264309757E-02    0.7408182510E+00
    0.1419067278E+01   -0.3973768325E-02    0.7046881186E+00
    0.1491824413E+01    0.7427993873E-03    0.6703200735E+00
    0.1568311886E+01    0.4866369708E-02    0.6376281777E+00
    0.1648720956E+01    0.8395566063E-02    0.6065306846E+00
    0.1733252687E+01    0.1134698098E-01    0.5769498340E+00
    0.1822118453E+01    0.1374820230E-01    0.5488116586E+00
    0.1915540464E+01    0.1563778238E-01    0.5220457981E+00
