#HD#     0.1823816445E+01     0.1913549755E+02 
    0.3248544784E+02    -0.7338684269E+00    -0.3712711985E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2996503206E+01 
    0.3338155608E+02    -0.6115492539E+00    -0.3810547840E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2959562037E+01 
    0.3428985627E+02    -0.4906103726E+00    -0.3902136027E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2929152652E+01 
    0.3521034842E+02    -0.3710600183E+00    -0.3987961488E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2904328812E+01 
    0.3614303251E+02    -0.2529051767E+00    -0.4068454900E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2884326139E+01 
    0.3708790855E+02    -0.1361515736E+00    -0.4144000810E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2868520235E+01 
    0.3804497653E+02    -0.2080367296E-01    -0.4214944282E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2856395893E+01 
    0.3901423647E+02     0.9313531648E-01    -0.4281596381E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2847524104E+01 
    0.3999568836E+02     0.2056634270E+00    -0.4344238710E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2841544649E+01 
    0.4098933219E+02     0.3167799110E+00    -0.4403127208E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2838152756E+01 
    0.4199516798E+02     0.4264852142E+00    -0.4458495341E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2837088751E+01 
    0.4301319571E+02     0.5347809432E+00    -0.4510556792E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2838129954E+01 
    0.4404341539E+02     0.6416698292E+00    -0.4559507755E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2841084257E+01 
    0.4508582702E+02     0.7471556872E+00    -0.4605528890E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2845785007E+01 
    0.4614043060E+02     0.8512433730E+00    -0.4648787005E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2852086880E+01 
    0.4720722613E+02     0.9539387363E+00    -0.4689436506E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2859862538E+01 
    0.4828621361E+02     0.1055248574E+01    -0.4727620647E+01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2868999897E+01 
